
"1968","AUS","Ken Rosewall","AUS","Rod Laver","6-3, 6-1, 2-6, 6-2"
"1969","AUS","Rod Laver","AUS","Ken Rosewall","6-4, 6-3, 6-4"
"1970","TCH","Jan Kodes","YUG","Zeljko Franulovic","6-2, 6-4, 6-0"
"1971","TCH","Jan Kodes","ROM","Ilie Nastase","8-6, 6-2, 2-6, 7-5"
"1972","ESP","Andres Gimeno","FRA","Patrick Proisy","4-6, 6-3, 6-1, 6-1"
"1973","ROM","Ilie Nastase","YUG","Nikola Pilic","6-3, 6-3, 6-0"
"1974","SWE","Bjorn Borg","ESP","Manuel Orantes","2-6, 6-7(4-7)[g], 6-0, 6-1, 6-1"
"1975","SWE","Bjorn Borg","ARG","Guillermo Vilas","6-2, 6-3, 6-4"
"1976","ITA","Adriano Panatta","USA","Harold Solomon","6-1, 6-4, 4-6, 7-6(7-3)"
"1977","ARG","Guillermo Vilas","USA","Brian Gottfried","6-0, 6-3, 6-0"
"1978","SWE","Bjorn Borg","ARG","Guillermo Vilas","6-1, 6-1, 6-3"
"1979","SWE","Bjorn Borg","PAR","Victor Pecci","6-3, 6-1, 6-7(6-8), 6-4"
"1980","SWE","Bjorn Borg","USA","Vitas Gerulaitis","6-4, 6-1, 6-2"
"1981","SWE","Bjorn Borg","TCH","Ivan Lendl","6-1, 4-6, 6-2, 3-6, 6-1"
"1982","SWE","Mats Wilander","ARG","Guillermo Vilas","1-6, 7-6(8-6), 6-0, 6-4"
"1983","FRA","Yannick Noah","SWE","Mats Wilander","6-2, 7-5, 7-6(7-3)"
"1984","TCH","Ivan Lendl","USA","John McEnroe","3-6, 2-6, 6-4, 7-5, 7-5"
"1985","SWE","Mats Wilander","TCH","Ivan Lendl","3-6, 6-4, 6-2, 6-2"
"1986","TCH","Ivan Lendl","SWE","Mikael Pernfors","6-3, 6-2, 6-4"
"1987","TCH","Ivan Lendl","SWE","Mats Wilander","7-5, 6-2, 3-6, 7-6(7-3)"
"1988","SWE","Mats Wilander","FRA","Henri Leconte","7-5, 6-2, 6-1"
"1989","USA","Michael Chang","SWE","Stefan Edberg","6-1, 3-6, 4-6, 6-4, 6-2"
"1990","ECU","Andres Gomez","USA","Andre Agassi","6-3, 2-6, 6-4, 6-4"
"1991","USA","Jim Courier","USA","Andre Agassi","3-6, 6-4, 2-6, 6-1, 6-4"
"1992","USA","Jim Courier","TCH","Petr Korda","7-5, 6-2, 6-1"
"1993","ESP","Sergi Bruguera","USA","Jim Courier","6-4, 2-6, 6-2, 3-6, 6-3"
"1994","ESP","Sergi Bruguera","ESP","Alberto Berasategui","6-3, 7-5, 2-6, 6-1"
"1995","AUT","Thomas Muster","USA","Michael Chang","7-5, 6-2, 6-4"
"1996","RUS","Yevgeny Kafelnikov","GER","Michael Stich","7-6(7-4), 7-5, 7-6(7-4)"
"1997","BRA","Gustavo Kuerten","ESP","Sergi Bruguera","6-3, 6-4, 6-2"
"1998","ESP","Carlos Moya","ESP","Alex Corretja","6-3, 7-5, 6-3"
"1999","USA","Andre Agassi","UKR","Andrei Medvedev","1-6, 2-6, 6-4, 6-3, 6-4"
"2000","BRA","Gustavo Kuerten","SWE","Magnus Norman","6-2, 6-3, 2-6, 7-6(8-6)"
"2001","BRA","Gustavo Kuerten","ESP","Alex Corretja","6-7(3-7), 7-5, 6-2, 6-0"
"2002","ESP","Albert Costa","ESP","Juan Carlos Ferrero","6-1, 6-0, 4-6, 6-3"
"2003","ESP","Juan Carlos Ferrero","NED","Martin Verkerk","6-1, 6-3, 6-2"
"2004","ARG","Gaston Gaudio","ARG","Guillermo Coria","0-6, 3-6, 6-4, 6-1, 8-6"
"2005","ESP","Rafael Nadal","ARG","Mariano Puerta","6-7(6-8), 6-3, 6-1, 7-5"
"2006","ESP","Rafael Nadal","SUI","Roger Federer","1-6, 6-1, 6-4, 7-6(7-4)"
"2007","ESP","Rafael Nadal","SUI","Roger Federer","6-3, 4-6, 6-3, 6-4"
"2008","ESP","Rafael Nadal","SUI","Roger Federer","6-1, 6-3, 6-0"
"2009","SUI","Roger Federer","SWE","Robin Soderling","6-1, 7-6(7-1), 6-4"
"2010","ESP","Rafael Nadal","SWE","Robin Soderling","6-4, 6-2, 6-4"
"2011","ESP","Rafael Nadal","SUI","Roger Federer","7-5, 7-6(7-3), 5-7, 6-1"
"2012","ESP","Rafael Nadal","SRB","Novak Djokovic","6-4, 6-3, 2-6, 7-5"
"2013","ESP","Rafael Nadal","ESP","David Ferrer","6-3, 6-2, 6-3"
"2014","ESP","Rafael Nadal","SRB","Novak Djokovic","3-6, 7-5, 6-2, 6-4"
"2015","SUI","Stan Wawrinka","SRB","Novak Djokovic","4-6, 6-4, 6-3, 6-4"
"2016","SRB","Novak Djokovic","GBR","Andy Murray","3-6, 6-1, 6-2, 6-4"
"2017","ESP","Rafael Nadal","SUI","Stan Wawrinka","6-2, 6-3, 6-1"
"2018","ESP","Rafael Nadal","AUT","Dominic Thiem","6-4, 6-3, 6-2"
"2019","ESP","Rafael Nadal","AUT","Dominic Thiem","6-3, 5-7, 6-1, 6-1"
